playerId,firstName_x,lastName_x,position_x,team,name_school,season,firstName_y,lastName_y,position_y,origin,destination,transferDate,rating,stars,eligibility
4431341,Jabari,Ishmael,DL,Southern Miss,JabariIshmaelSouthern Miss,2026,Jabari,Ishmael,EDGE,Southern Miss,Memphis,2026-01-16T16:15:00.000Z,0.86,3.0,Immediate
4431415,Ian,Stewart,WR,Temple,IanStewartTemple,2026,Ian,Stewart,WR,Temple,,2026-01-04T19:58:00.000Z,,3.0,Immediate
4431468,Jordan,Mosley,WR,Mississippi State,JordanMosleyMississippi State,2026,Jordan,Mosley,WR,Mississippi State,Colorado State,2026-01-11T02:22:00.000Z,,4.0,Immediate
4431508,Dylan,Brooks,DE,Kansas,DylanBrooksKansas,2026,Dylan,Brooks,EDGE,Kansas,Missouri State,2026-01-20T20:44:00.000Z,0.86,3.0,Immediate
4431527,Derrick,Davis Jr.,RB,Pittsburgh,DerrickDavis Jr.Pittsburgh,2026,Derrick,Davis Jr.,RB,Pittsburgh,,2026-01-03T15:25:00.000Z,,4.0,Immediate
4431608,Landyn,Watson,LB,Kentucky,LandynWatsonKentucky,2026,Landyn,Watson,LB,Kentucky,Kansas,2026-01-05T00:50:00.000Z,0.86,3.0,Immediate
4431612,Keanu,Williams,DT,UCLA,KeanuWilliamsUCLA,2026,Keanu,Williams,DL,UCLA,Penn State,2026-01-06T03:13:00.000Z,0.86,3.0,Immediate
4431626,Charles,Brantley,CB,Miami,CharlesBrantleyMiami,2026,Charles,Brantley,CB,Miami,Michigan State,2026-01-07T19:24:00.000Z,0.87,3.0,Immediate
4431948,TJ,Finley,QB,Georgia State,TJFinleyGeorgia State,2026,TJ,Finley,QB,Georgia State,Incarnate Word,2026-01-14T01:00:22.000Z,0.85,3.0,Immediate
4432470,Calib,Perez,OL,UAB,CalibPerezUAB,2026,Calib,Perez,IOL,UAB,,2026-01-27T02:06:57.000Z,0.85,3.0,Withdrawn
4432552,Darius,Snow,LB,Michigan State,DariusSnowMichigan State,2026,Darius,Snow,LB,Michigan State,Texas,2026-04-16T22:11:00.000Z,0.85,3.0,TBD
4432655,Tunmise,Adeleye,DL,UNLV,TunmiseAdeleyeUNLV,2026,Tunmise,Adeleye,DL,UNLV,Syracuse,2026-01-12T15:27:00.000Z,0.86,3.0,Immediate
4432669,Joshua,Burrell,TE,Furman,JoshuaBurrellFurman,2026,Joshua,Burrell,WR,Furman,Arkansas State,2026-01-08T21:25:59.000Z,,3.0,Immediate
4432689,Jaylin,Davies,CB,Oklahoma State,JaylinDaviesOklahoma State,2026,Jaylin,Davies,CB,Oklahoma State,Vanderbilt,2026-02-26T03:27:00.000Z,0.85,3.0,Immediate
4432703,Jake,Garcia,QB,Michigan,JakeGarciaMichigan,2026,Jake,Garcia,QB,Michigan,,2026-01-15T17:27:00.000Z,,4.0,Immediate
4432719,Jamier,Johnson,DB,UCLA,JamierJohnsonUCLA,2026,Jamier,Johnson,CB,UCLA,,2026-01-17T05:18:00.000Z,,4.0,Immediate
4432726,Zeiqui,Lawton,DL,Sam Houston,ZeiquiLawtonSam Houston,2026,Zeiqui,Lawton,DL,Sam Houston,,2026-01-02T16:05:00.000Z,,3.0,Immediate
4432757,Evan,Pryor,RB,Cincinnati,EvanPryorCincinnati,2026,Evan,Pryor,RB,Cincinnati,Florida,2026-01-06T17:02:00.000Z,0.87,3.0,Immediate
4433829,Mitch,Griffis,QB,Texas Tech,MitchGriffisTexas Tech,2026,Mitch,Griffis,QB,Texas Tech,East Carolina,2026-01-09T00:43:00.000Z,,3.0,Immediate
4433836,Josh,Griffis,DL,Tarleton State,JoshGriffisTarleton State,2026,Josh,Griffis,EDGE,Tarleton State,,2025-12-16T17:20:00.000Z,0.82,3.0,Immediate
4433854,Nahji,Logan,LB,Nevada,NahjiLoganNevada,2026,Nahji,Logan,LB,Nevada,,2026-01-02T16:21:00.000Z,,2.0,Immediate
4433861,Xavier,McIver,DL,East Carolina,XavierMcIverEast Carolina,2026,Xavier,McIver,DL,East Carolina,Southern Miss,2026-01-17T19:50:00.000Z,0.85,3.0,Immediate
4433868,Jalen,McNair,S,Buffalo,JalenMcNairBuffalo,2026,Jalen,McNair,S,Buffalo,Virginia,2026-01-16T05:23:00.000Z,0.85,3.0,Immediate
4433937,Plae,Wyatt,S,Rice,PlaeWyattRice,2026,Plae,Wyatt,S,Rice,Abilene Christian,2026-01-15T17:21:00.000Z,,3.0,Immediate
4502324,Caden,Johnson,LB,Ball State,CadenJohnsonBall State,2026,Caden,Johnson,LB,Ball State,,2025-12-02T16:40:00.000Z,0.84,3.0,Immediate
4522107,Daveon,Walker,WR,Alabama A&M,DaveonWalkerAlabama A&M,2026,Daveon,Walker,WR,Alabama A&M,Texas Southern,2026-01-21T02:35:00.000Z,0.85,3.0,Immediate
4565180,Peter,Costelli,QB,Northern Colorado,PeterCostelliNorthern Colorado,2026,Peter,Costelli,QB,Northern Colorado,,2025-11-26T19:21:00.000Z,,3.0,Immediate
4565306,Sterling,Miles,DE,Eastern Michigan,SterlingMilesEastern Michigan,2026,Sterling,Miles,EDGE,Eastern Michigan,UTEP,2026-01-18T17:09:00.000Z,0.84,3.0,Immediate
4565355,Dexter,Williams II,QB,Kennesaw State,DexterWilliams IIKennesaw State,2026,Dexter,Williams II,QB,Kennesaw State,Tulsa,2026-01-07T20:55:00.000Z,0.83,3.0,Immediate
4565357,Brenden,Deasfernandes,DB,Central Michigan,BrendenDeasfernandesCentral Michigan,2026,Brenden,Deasfernandes,CB,Central Michigan,Northwestern,2026-01-06T00:46:00.000Z,0.87,3.0,Immediate
4566164,Jack,Olsen,PK,Northwestern,JackOlsenNorthwestern,2026,Jack,Olsen,K,Northwestern,Miami,2026-01-17T00:59:00.000Z,0.85,3.0,Immediate
4568099,Justin,Beadles,LB,Louisville,JustinBeadlesLouisville,2026,Justin,Beadles,EDGE,Louisville,California,2026-01-10T19:20:00.000Z,0.87,3.0,Immediate
4569262,Alex,Honig,TE,UConn,AlexHonigUConn,2026,Alex,Honig,TE,UConn,Northwestern,2026-01-10T00:35:10.000Z,0.86,3.0,Immediate
4570478,Dylan,Black,LS,Oregon State,DylanBlackOregon State,2026,Dylan,Black,LS,Oregon State,,2026-01-02T15:52:00.000Z,,,Immediate
4570574,Cam,Miller,DB,Memphis,CamMillerMemphis,2026,Cam,Miller,S,Memphis,Kennesaw State,2026-01-22T02:19:00.000Z,0.84,3.0,Immediate
4570736,Markell,Samuel,OL,Oklahoma State,MarkellSamuelOklahoma State,2026,Markell,Samuel,OT,Oklahoma State,Georgia Tech,2026-01-06T15:03:00.000Z,0.86,3.0,Immediate
4571284,Marques,White,DE,Massachusetts,MarquesWhiteMassachusetts,2026,Marques,White,EDGE,Massachusetts,SMU,2026-01-12T23:26:00.000Z,0.86,3.0,Immediate
4572261,Elijah,Culp,CB,James Madison,ElijahCulpJames Madison,2026,Elijah,Culp,CB,James Madison,,2026-01-04T18:55:00.000Z,,,Immediate
4575746,Tyler,Brown,OL,Colorado,TylerBrownColorado,2026,Tyler,Brown,IOL,Colorado,James Madison,2026-01-12T14:34:00.000Z,0.85,3.0,Immediate
4575835,David,Ndukwe,OL,Houston,DavidNdukweHouston,2026,David,Ndukwe,OT,Houston,,2026-01-16T20:59:00.000Z,,3.0,Immediate
4575844,Jake,Renfro,OL,Wisconsin,JakeRenfroWisconsin,2026,Jake,Renfro,IOL,Wisconsin,Illinois,2026-01-05T21:55:00.000Z,0.86,3.0,Immediate
4575923,Elijah,Jackson,CB,TCU,ElijahJacksonTCU,2026,Elijah,Jackson,CB,TCU,,2026-01-02T19:53:00.000Z,,3.0,Immediate
4585067,Mason,Bowers,OL,Charlotte,MasonBowersCharlotte,2026,Mason,Bowers,OT,Charlotte,,2026-01-14T14:01:00.000Z,,3.0,Immediate
4586334,Bryon,Threats,DB,UCLA,BryonThreatsUCLA,2026,Bryon,Threats,S,UCLA,,2026-01-14T14:53:00.000Z,,3.0,Immediate
4587719,Esean,Carter,DT,Toledo,EseanCarterToledo,2026,Esean,Carter,DL,Toledo,,2025-12-27T20:02:00.000Z,0.86,3.0,Immediate
4587722,Troy,Stellato,WR,Kentucky,TroyStellatoKentucky,2026,Troy,Stellato,WR,Kentucky,UNLV,2026-01-19T22:55:00.000Z,0.85,3.0,Immediate
4587870,Zuriah,Fisher,DE,Penn State,ZuriahFisherPenn State,2026,Zuriah,Fisher,EDGE,Penn State,USC,2026-01-12T20:31:00.000Z,0.92,4.0,Immediate
4588194,Dyson,McCutcheon,S,Washington,DysonMcCutcheonWashington,2026,Dyson,McCutcheon,S,Washington,Middle Tennessee,2026-01-13T15:50:00.000Z,0.85,3.0,Immediate
4592531,Ari,Patu,QB,North Alabama,AriPatuNorth Alabama,2026,Ari,Patu,QB,North Alabama,Duke,2026-01-07T06:00:00.000Z,0.85,3.0,Immediate
4592532,Billy,Edwards Jr.,QB,Wisconsin,BillyEdwards Jr.Wisconsin,2026,Billy,Edwards Jr.,QB,Wisconsin,North Carolina,2026-01-04T15:10:00.000Z,0.86,3.0,Immediate
4592574,Jaedon,Wilson,WR,UCLA,JaedonWilsonUCLA,2026,Jaedon,Wilson,WR,UCLA,,2026-01-05T21:32:00.000Z,,3.0,Immediate
4592781,Luke,Murphy,LB,Coastal Carolina,LukeMurphyCoastal Carolina,2026,Luke,Murphy,LB,Coastal Carolina,UConn,2026-01-24T07:35:00.000Z,0.84,3.0,Immediate
4594322,Shambre,Jackson,DL,Massachusetts,ShambreJacksonMassachusetts,2026,Shambre,Jackson,EDGE,Massachusetts,,2026-01-15T17:18:00.000Z,,3.0,Immediate
4594332,John,Howse IV,DB,Middle Tennessee,JohnHowse IVMiddle Tennessee,2026,John,Howse IV,S,Middle Tennessee,Arkansas,2026-01-16T18:54:00.000Z,0.85,3.0,Immediate
4594706,Owen,Snively,OL,Eastern Michigan,OwenSnivelyEastern Michigan,2026,Owen,Snively,IOL,Eastern Michigan,Boston College,2026-01-22T02:42:00.000Z,0.85,3.0,Immediate
4596362,Justus,Boone,LB,Arkansas,JustusBooneArkansas,2026,Justus,Boone,EDGE,Arkansas,Wisconsin,2026-01-04T22:53:00.000Z,0.87,3.0,Immediate
4596437,AJ,Green,RB,Arkansas,AJGreenArkansas,2026,AJ,Green,RB,Arkansas,Western Michigan,2026-01-10T01:38:00.000Z,,4.0,Immediate
4596666,Bryce,Steele,LB,Boston College,BryceSteeleBoston College,2026,Bryce,Steele,LB,Boston College,Troy,2026-01-15T20:11:00.000Z,0.85,3.0,Immediate
4596725,Khari,Gee,DB,Chattanooga,KhariGeeChattanooga,2026,Khari,Gee,S,Chattanooga,,2025-11-24T21:26:00.000Z,0.83,3.0,Immediate
4597240,Terrence,Enos Jr.,OL,Kansas State,TerrenceEnos Jr.Kansas State,2026,Terrence,Enos Jr.,OT,Kansas State,,2026-01-17T05:40:00.000Z,,3.0,Immediate
4597250,Will,Johnson,LB,Virginia Tech,WillJohnsonVirginia Tech,2026,Will,Johnson,LB,Virginia Tech,,2026-01-12T21:05:00.000Z,,3.0,Immediate
4597499,Mikey,Keene,QB,Michigan,MikeyKeeneMichigan,2026,Mikey,Keene,QB,Michigan,Arizona State,2026-01-08T16:19:00.000Z,0.85,3.0,Immediate
4601283,Trey,Cooley,RB,Troy,TreyCooleyTroy,2026,Trey,Cooley,RB,Troy,Washington,2026-01-22T21:40:00.000Z,0.85,3.0,Immediate
4602193,Lyrik,Rawls,DB,Kansas,LyrikRawlsKansas,2026,Lyrik,Rawls,S,Kansas,Arizona State,2026-01-08T20:35:00.000Z,0.86,3.0,Immediate
4602196,Tonga,Lolohea,DL,Baylor,TongaLoloheaBaylor,2026,Tonga,Lolohea,DL,Baylor,,2025-12-10T17:26:00.000Z,,3.0,Immediate
4602645,Jalen,Emery,DB,Western Kentucky,JalenEmeryWestern Kentucky,2026,Jalen,Emery,CB,Western Kentucky,,2026-01-14T14:54:00.000Z,,3.0,Immediate
4602921,Dylan,Flowers,CB,Western Kentucky,DylanFlowersWestern Kentucky,2026,Dylan,Flowers,CB,Western Kentucky,Duke,2026-01-03T22:33:00.000Z,0.87,3.0,Immediate
4602923,Jaylen,Henderson,QB,West Virginia,JaylenHendersonWest Virginia,2026,Jaylen,Henderson,QB,West Virginia,Liberty,2026-01-21T02:55:00.000Z,0.83,3.0,Immediate
4602928,Ezavier,Staples,WR,UCLA,EzavierStaplesUCLA,2026,Ezavier,Staples,WR,UCLA,,2026-01-03T00:32:00.000Z,,3.0,Immediate
4603090,Hammond,Russell IV,DL,West Virginia,HammondRussell IVWest Virginia,2026,Hammond,Russell IV,DL,West Virginia,Wisconsin,2026-01-08T15:37:00.000Z,0.86,3.0,Immediate
4603185,Markus,Allen,WR,Mississippi State,MarkusAllenMississippi State,2026,Markus,Allen,WR,Mississippi State,Middle Tennessee,2026-01-17T00:25:00.000Z,0.82,3.0,Immediate
4603193,Jardin,Gilbert,S,LSU,JardinGilbertLSU,2026,Jardin,Gilbert,S,LSU,Mississippi State,2026-01-12T23:40:00.000Z,0.86,3.0,Immediate
4603750,Davion,Rhodes,DL,Georgia Southern,DavionRhodesGeorgia Southern,2026,Davion,Rhodes,EDGE,Georgia Southern,North Texas,2026-01-13T17:00:00.000Z,0.84,3.0,Immediate
4604319,Avery,Dunn,DL,Toledo,AveryDunnToledo,2026,Avery,Dunn,EDGE,Toledo,UConn,2026-01-14T17:48:00.000Z,0.85,3.0,Immediate
4605477,Alante,Brown,WR,Michigan State,AlanteBrownMichigan State,2026,Alante,Brown,WR,Michigan State,Memphis,2026-01-14T15:15:00.000Z,,4.0,Immediate
4605838,Preston,Zachman,DB,Wisconsin,PrestonZachmanWisconsin,2026,Preston,Zachman,S,Wisconsin,Indiana,2026-01-04T15:00:00.000Z,0.86,3.0,Immediate
4606658,Samari,Collier,QB,Coastal Carolina,SamariCollierCoastal Carolina,2026,Samari,Collier,QB,Coastal Carolina,Delaware State,2026-08-08T00:03:00.000Z,,3.0,Immediate
4606685,Logan,Mauldin,TE,McNeese,LoganMauldinMcNeese,2026,Logan,Mauldin,TE,McNeese,Charlotte,2026-01-10T17:37:00.000Z,0.83,3.0,Immediate
4608922,Braydon,Bennett,RB,Virginia Tech,BraydonBennettVirginia Tech,2026,Braydon,Bennett,RB,Virginia Tech,Eastern Michigan,2026-01-20T18:46:00.000Z,0.84,3.0,Immediate
4610131,Parker,Navarro,QB,Ohio,ParkerNavarroOhio,2026,Parker,Navarro,QB,Ohio,Professional,2026-01-16T15:31:00.000Z,0.87,3.0,PendingAppeal
4611768,Jaydon,Hood,LB,Michigan,JaydonHoodMichigan,2026,Jaydon,Hood,LB,Michigan,Georgia State,2026-01-16T00:14:00.000Z,0.84,3.0,Immediate
4612402,Ian,Shewell,DL,Arizona State,IanShewellArizona State,2026,Ian,Shewell,DL,Arizona State,San José State,2026-01-15T23:24:00.000Z,0.82,3.0,Immediate
4612621,Josh,Atkins,OL,Arizona State,JoshAtkinsArizona State,2026,Josh,Atkins,OT,Arizona State,Missouri,2026-01-08T16:43:00.000Z,0.87,3.0,Immediate
4612624,Antwan,Roberts,RB,Marshall,AntwanRobertsMarshall,2026,Antwan,Roberts,RB,Marshall,Arizona,2026-01-14T20:41:00.000Z,0.87,3.0,Immediate
4612838,Nick,Sharpe,OL,South Carolina,NickSharpeSouth Carolina,2026,Nick,Sharpe,IOL,South Carolina,Michigan State,2026-01-06T22:25:00.000Z,0.85,3.0,Immediate
4612846,Jackson,Hamilton,LB,Georgia Tech,JacksonHamiltonGeorgia Tech,2026,Jackson,Hamilton,LB,Georgia Tech,,2026-01-17T05:12:00.000Z,,3.0,Immediate
4613038,Mikah,Coleman,DL,Cincinnati,MikahColemanCincinnati,2026,Mikah,Coleman,EDGE,Cincinnati,Miami (OH),2026-02-11T16:49:03.000Z,0.86,3.0,Immediate
4618083,Ethan,Hampton,QB,Illinois,EthanHamptonIllinois,2026,Ethan,Hampton,QB,Illinois,Southern Miss,2026-01-11T00:01:00.000Z,,3.0,Immediate
4678012,Jimmy,Wyrick,S,UTSA,JimmyWyrickUTSA,2026,Jimmy,Wyrick,S,UTSA,,2025-12-20T01:46:00.000Z,0.85,3.0,Immediate
4680019,Jimmy,Valsin III,WR,Oregon State,JimmyValsin IIIOregon State,2026,Jimmy,Valsin III,WR,Oregon State,,2026-01-05T23:37:00.000Z,,3.0,Immediate
4680024,Da'Wain,Lofton,WR,Oklahoma State,Da'WainLoftonOklahoma State,2026,Da'Wain,Lofton,WR,Oklahoma State,,2026-01-02T00:03:00.000Z,,3.0,Immediate
4682533,Michael,Gravely Jr.,DB,Ball State,MichaelGravely Jr.Ball State,2026,Michael,Gravely Jr.,S,Ball State,,2026-01-02T16:32:00.000Z,,3.0,Immediate
4682935,Jack,Leyrer,OL,Stanford,JackLeyrerStanford,2026,Jack,Leyrer,OT,Stanford,Auburn,2026-01-18T17:44:00.000Z,0.84,3.0,Immediate
4683014,Armorion,Smith,DB,Michigan State,ArmorionSmithMichigan State,2026,Armorion,Smith,S,Michigan State,Toledo,2026-01-17T21:24:00.000Z,0.85,3.0,Immediate
4683043,Thomas,Davis,DL,App State,ThomasDavisApp State,2026,Thomas,Davis,EDGE,App State,Tulsa,2026-01-12T21:10:00.000Z,0.86,3.0,Immediate
4683111,Jaden,Bradley,WR,UNLV,JadenBradleyUNLV,2026,Jaden,Bradley,WR,UNLV,,2026-01-08T16:03:00.000Z,,3.0,Immediate
4683136,Tae'Shaun,Johnson,WR,Hampton,Tae'ShaunJohnsonHampton,2026,Tae'Shaun,Johnson,WR,Hampton,,2025-11-30T17:02:00.000Z,,3.0,Immediate
4683137,Drake,Martinez,TE,UT Martin,DrakeMartinezUT Martin,2026,Drake,Martinez,TE,UT Martin,Tennessee,2026-01-25T22:10:00.000Z,0.85,3.0,Immediate
4683154,Mikai,Gbayor,LB,North Carolina,MikaiGbayorNorth Carolina,2026,Mikai,Gbayor,LB,North Carolina,Florida State,2026-01-15T22:16:00.000Z,0.91,4.0,Immediate
4683224,Derek,McDonald,LB,Syracuse,DerekMcDonaldSyracuse,2026,Derek,McDonald,LB,Syracuse,North Carolina,2026-01-10T16:19:00.000Z,0.84,3.0,Immediate
4683257,Davion,Weatherspoon,OL,Ohio,DavionWeatherspoonOhio,2026,Davion,Weatherspoon,IOL,Ohio,Arkansas,2026-01-17T18:55:00.000Z,0.86,3.0,Immediate
4683306,Landon,Morris,TE,California,LandonMorrisCalifornia,2026,Landon,Morris,TE,California,Wake Forest,2026-01-09T16:12:00.000Z,0.87,3.0,Immediate
4683417,Miles,Campbell,TE,Florida A&M,MilesCampbellFlorida A&M,2026,Miles,Campbell,TE,Florida A&M,UTSA,2026-01-08T01:10:00.000Z,,4.0,Immediate
4683461,Tyson,Davis,WR,Central Michigan,TysonDavisCentral Michigan,2026,Tyson,Davis,WR,Central Michigan,Virginia,2026-01-18T18:41:00.000Z,0.85,3.0,Immediate
4683505,Troy,Everett,OL,Oklahoma,TroyEverettOklahoma,2026,Troy,Everett,IOL,Oklahoma,Ole Miss,2026-01-13T16:32:00.000Z,0.85,3.0,Immediate
4683507,Owen,Stoudmire,DT,Boston College,OwenStoudmireBoston College,2026,Owen,Stoudmire,DL,Boston College,Nebraska,2026-01-14T15:18:00.000Z,0.86,3.0,Immediate
4683508,Yakiri,Walker,OL,Memphis,YakiriWalkerMemphis,2026,Yakiri,Walker,IOL,Memphis,Baylor,2026-01-13T00:25:00.000Z,0.86,3.0,Immediate
4683543,RJ,Garcia II,WR,Bowling Green,RJGarcia IIBowling Green,2026,RJ,Garcia II,WR,Bowling Green,Florida Atlantic,2026-01-04T18:12:00.000Z,0.85,3.0,Immediate
4683588,Darrion,Dalton,DT,Washington State,DarrionDaltonWashington State,2026,Darrion,Dalton,DL,Washington State,,2026-01-08T16:20:00.000Z,,3.0,Immediate
4683630,Corey,Platt Jr.,LB,Houston,CoreyPlatt Jr.Houston,2026,Corey,Platt Jr.,LB,Houston,Texas Tech,2026-01-13T03:13:00.000Z,0.88,3.0,Immediate
4683665,Zuberi,Mobley,RB,Tulane,ZuberiMobleyTulane,2026,Zuberi,Mobley,RB,Tulane,,2025-12-25T04:41:00.000Z,,3.0,Immediate
4683720,Caleb,Cook,OL,Georgia Southern,CalebCookGeorgia Southern,2026,Caleb,Cook,IOL,Georgia Southern,South Florida,2026-01-06T20:48:00.000Z,0.85,3.0,Immediate
4683812,Nate,Pabst,OL,Bowling Green,NatePabstBowling Green,2026,Nate,Pabst,OT,Bowling Green,Florida State,2026-01-06T16:45:00.000Z,0.86,3.0,Immediate
4683912,Hunter,Herring,TE,UL Monroe,HunterHerringUL Monroe,2026,Hunter,Herring,TE,UL Monroe,Auburn,2026-01-22T23:51:00.000Z,0.85,3.0,Immediate
4683984,Devon,Manuel,OL,Florida,DevonManuelFlorida,2026,Devon,Manuel,OT,Florida,App State,2026-01-15T01:08:00.000Z,0.86,3.0,Immediate
4684008,Jordan,Davis,OL,South Alabama,JordanDavisSouth Alabama,2026,Jordan,Davis,OT,South Alabama,UCLA,2026-01-18T22:25:00.000Z,0.86,3.0,Immediate
4684421,Simeon,Price,RB,Colorado,SimeonPriceColorado,2026,Simeon,Price,RB,Colorado,Oregon,2026-01-14T21:48:00.000Z,0.88,3.0,Immediate
4685046,Jesus,Machado,LB,Houston,JesusMachadoHouston,2026,Jesus,Machado,LB,Houston,Rice,2026-01-12T22:06:00.000Z,0.84,3.0,Immediate
4685237,Michael,Allen,RB,Marshall,MichaelAllenMarshall,2026,Michael,Allen,RB,Marshall,East Carolina,2026-01-08T18:34:00.000Z,,4.0,Immediate
4685245,Wilfredo,Aybar,LB,Stanford,WilfredoAybarStanford,2026,Wilfredo,Aybar,EDGE,Stanford,,2026-01-20T01:09:05.000Z,,4.0,Withdrawn
4685252,Henry,Belin IV,QB,Duke,HenryBelin IVDuke,2026,Henry,Belin IV,QB,Duke,Missouri State,2026-01-16T02:58:00.000Z,0.83,3.0,Immediate
4685255,Bryce,Anderson,DB,Texas A&M,BryceAndersonTexas A&M,2026,Bryce,Anderson,S,Texas A&M,,2026-01-14T14:39:39.000Z,,4.0,Withdrawn
4685258,Tayvion,Beasley,DB,BYU,TayvionBeasleyBYU,2026,Tayvion,Beasley,CB,BYU,South Florida,2026-01-10T15:47:00.000Z,,3.0,Immediate
4685268,Raleek,Brown,RB,Arizona State,RaleekBrownArizona State,2026,Raleek,Brown,RB,Arizona State,Texas,2026-01-08T15:01:04.000Z,0.92,4.0,Immediate
4685269,Jovantae,Barnes,RB,Oklahoma,JovantaeBarnesOklahoma,2026,Jovantae,Barnes,RB,Oklahoma,Kentucky,2026-01-06T18:49:00.000Z,0.86,3.0,Immediate
4685276,Joe,Brunner,OL,Wisconsin,JoeBrunnerWisconsin,2026,Joe,Brunner,IOL,Wisconsin,Indiana,2026-01-14T20:24:00.000Z,0.93,4.0,Immediate
4685281,Nate,Burrell,DL,California,NateBurrellCalifornia,2026,Nate,Burrell,DL,California,,2026-01-05T23:04:35.000Z,,3.0,Withdrawn
4685288,Selah,Brown,DL,Louisville,SelahBrownLouisville,2026,Selah,Brown,DL,Louisville,Bowling Green,2026-01-23T19:48:00.000Z,0.84,3.0,Immediate
4685289,Keyan,Burnett,TE,Arizona,KeyanBurnettArizona,2026,Keyan,Burnett,TE,Arizona,UNLV,2026-01-13T17:34:00.000Z,0.86,3.0,Immediate
